AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0,0,0.34,2.33,0,1.02,0.79,0,1.04,0,1.49,0.49,2.67,1.83,1.52,2.35,Neutral
0,0,0.92,0.48,0,0,1.83,0.48,0.48,0.48,2.22,0.48,4.06,2.32,0.45,2.19,Neutral
0,0,0,0,0,0.47,0.96,0.18,1.01,0.18,1.09,0.18,1.47,1.54,0.11,0.18,Neutral
0,0,0.37,0.6,0.71,0.84,2.12,0,0,0,1.2,0,3.99,2.12,0.45,2.32,Neutral
0.04,0,0.04,0,3.82,0,0,0,0,0,0,0,3.99,0,0,3.99,Neutral
0,0,1.21,1.12,0,1.27,2.56,0,0.55,0,0.42,0.55,1.89,3.22,3.85,3.32,Negative
0.27,0,0.42,0,1.69,1.47,3.86,0,0,0,1.9,0,3.82,3.98,3.22,3.06,Negative
0.17,0,0.97,0,1.48,1.32,4.15,0,0,0,0,0,1.41,4.15,2.75,2.1,Negative
0.32,0,1.52,0.53,0.7,3.14,1.03,0.92,1.02,0.92,0.92,0.92,4.79,1.62,1.22,5.04,Negative
0,0,0,0,0,0,0.17,0,0,0,0,0.13,0,0.3,7.25,6.95,Negative
0,0,1.87,0.56,0,1.89,1.33,0,0,0,0.53,0,3.24,1.42,2.83,5.45,Negative
0,0,0,0,0,1.87,0.72,0,0,0,0,0,0.35,0.72,7.1,6.54,Negative
0.18,0,0,0,0.35,0.63,1.75,0,0,0,0,0,0.23,0.9,6.3,5.3,Negative
0,0,1.04,0.9,0.98,0.4,3.68,0,0.38,0,0.38,0,1.46,3.85,5.35,2.95,Negative
0,0,0,0,0,4.82,4.82,0,0,0,0,0,6.42,3.08,0,0,Negative
0,0,0.7,1.37,0,6.81,1.97,0,0,0,0,0,7.94,1.28,0,6.65,Negative
0,0,0.15,2.48,0.42,2.44,0,0,0,0,0,0,0.8,0.08,5.95,6.71,Negative
0,0,0,0.69,0,2.8,2.04,0.47,0.22,0.6,0.49,0.67,0.91,2.7,2.4,2.02,Negative
0,0,0,7.4,0,7.4,2.03,0,0,0.17,0,0.17,9.6,2.2,0,7.4,Negative
0,0,0,0.07,0,0.22,0.67,0.33,0.52,0.33,0.52,0.42,0.94,1.09,0.22,0.07,Negative
0,0,0,0,0,0,5.18,0,1.7,0,3.43,1.73,6.88,6.88,0.43,0.43,Negative
